ID,City,Country,Date_Time,Latitude,Longitude,Max_Temperature,Humidity,Wind,Clouds
3874787,Punta Arenas,CL,07/03/2019 23:08:33,-53.16,-70.91,23.0,92,3.36,40
5960603,Geraldton,CA,07/03/2019 23:08:34,49.72,-86.95,68.0,72,3.36,40
4117436,Killin,US,07/03/2019 23:08:34,33.61,-91.74,78.8,78,4.7,1
2110227,Butaritari,KI,07/03/2019 23:08:34,3.07,172.79,84.47,66,2.64,42
3833367,Ushuaia,AR,07/03/2019 23:06:23,-54.81,-68.31,23.0,67,8.05,0
6201424,Mataura,NZ,07/03/2019 23:08:35,-46.19,168.86,45.0,84,1.01,31
5106834,Albany,US,07/03/2019 23:08:35,42.65,-73.75,70.0,93,3.36,1
3720455,Moron,HT,07/03/2019 23:08:35,18.56,-74.26,78.17,85,3.56,38
3366880,Hermanus,ZA,07/03/2019 23:08:35,-34.42,19.24,55.0,88,20.94,1
1507390,Dikson,RU,07/03/2019 23:03:55,73.51,80.55,35.51,94,13.04,100
2281120,Tabou,CI,07/03/2019 23:08:36,4.42,-7.36,73.67,94,4.54,100
3466165,Cidreira,BR,07/03/2019 23:08:36,-30.17,-50.22,45.59,71,10.31,0
5855927,Hilo,US,07/03/2019 23:08:36,19.71,-155.08,75.2,83,4.7,90
2094342,Kavieng,PG,07/03/2019 23:08:37,-2.57,150.8,83.39,70,4.92,14
3660573,Archidona,EC,07/03/2019 23:08:37,-0.91,-77.81,60.53,98,2.39,91
1863495,Gushikawa,JP,07/03/2019 23:08:37,26.35,127.87,82.4,78,12.75,75
2069194,Jamestown,AU,07/03/2019 23:08:38,-33.21,138.6,56.21,59,9.91,0
2112802,Hasaki,JP,07/03/2019 23:08:38,35.73,140.83,70.0,94,13.87,75
2025261,Chulman,RU,07/03/2019 23:08:38,56.84,124.9,51.53,55,9.22,100
6138908,Saint-Philippe,CA,07/03/2019 23:06:11,45.36,-73.48,73.0,82,3.36,1
4975802,Portland,US,07/03/2019 22:59:04,43.66,-70.25,66.2,82,3.58,1
3652764,Puerto Ayora,EC,07/03/2019 23:08:39,-0.74,-90.35,68.0,92,10.18,35
2123628,Magadan,RU,07/03/2019 23:08:39,59.56,150.8,45.23,93,8.21,95
3932145,Pisco,PE,07/03/2019 23:08:40,-13.71,-76.2,63.0,82,5.82,90
1651810,Airai,TL,07/03/2019 23:04:05,-8.93,125.41,82.67,46,3.83,56
6170031,Tuktoyaktuk,CA,07/03/2019 23:08:40,69.44,-133.03,64.4,68,9.17,90
1299237,Pyapon,MM,07/03/2019 23:08:40,16.29,95.68,81.23,81,15.95,99
2155415,New Norfolk,AU,07/03/2019 23:08:41,-42.78,147.06,53.01,71,5.82,20
7626384,Hovd,NO,07/03/2019 23:08:41,63.83,10.7,48.0,87,11.41,75
3892454,Diego de Almagro,CL,07/03/2019 23:08:41,-26.39,-70.05,47.75,76,0.98,93
1726279,Sabang,PH,07/03/2019 23:08:42,13.8,121.11,82.67,83,4.29,97
2090021,Namatanai,PG,07/03/2019 23:08:42,-3.66,152.44,79.79,80,13.2,72
2180815,Tuatapere,NZ,07/03/2019 23:08:42,-46.13,167.69,45.0,84,1.01,31
137956,Darab,IR,07/03/2019 23:08:42,28.75,54.55,89.69,17,2.57,3
3164565,Vila,IT,07/03/2019 23:08:43,45.18,8.4,75.0,88,5.82,0
2394819,Cotonou,BJ,07/03/2019 23:08:43,6.37,2.43,75.29,93,5.73,100
3369157,Cape Town,ZA,07/03/2019 23:05:22,-33.93,18.42,55.99,93,2.24,75
4011743,Constitucion,MX,07/03/2019 23:08:44,23.99,-104.67,62.01,70,11.01,77
3369174,Calvinia,ZA,07/03/2019 23:08:44,-31.47,19.78,45.95,35,5.26,0
3440777,Rocha,UY,07/03/2019 23:06:56,-34.48,-54.34,40.01,75,14.25,0
3390907,Manaia,BR,07/03/2019 23:08:45,-5.02,-39.08,67.19,98,0.49,100
6355222,Yulara,AU,07/03/2019 23:08:45,-25.24,130.99,68.0,18,12.75,0
4267710,Sitka,US,07/03/2019 23:08:45,37.17,-99.65,72.0,88,4.0,4
3893629,Coquimbo,CL,07/03/2019 23:08:45,-29.95,-71.34,53.01,87,4.7,0
4845585,Westport,US,07/03/2019 23:05:53,41.14,-73.36,73.4,88,1.19,1
3665199,Ariquemes,BR,07/03/2019 23:08:46,-9.91,-63.03,71.87,78,0.69,26
3378644,Georgetown,GY,07/03/2019 23:07:46,6.8,-58.16,75.2,100,3.0,75
2013727,Vanavara,RU,07/03/2019 23:08:46,60.35,102.28,83.93,27,1.21,0
3831208,Qaanaaq,GL,07/03/2019 23:08:47,77.48,-69.36,43.79,52,1.81,100
1490256,Talnakh,RU,07/03/2019 23:08:47,69.49,88.39,82.4,30,4.47,0
2181625,Te Anau,NZ,07/03/2019 23:08:47,-45.41,167.72,40.37,79,5.91,56
3863379,Mar del Plata,AR,07/03/2019 23:08:48,-46.43,-67.52,29.03,72,3.76,0
3356213,Khorixas,NA,07/03/2019 23:08:48,-20.37,14.96,54.77,16,7.56,0
2075265,Busselton,AU,07/03/2019 23:08:49,-33.64,115.35,55.99,98,12.59,100
4030556,Rikitea,PF,07/03/2019 23:08:49,-23.12,-134.97,67.19,71,24.7,90
6295855,Saint-Georges,CA,07/03/2019 23:08:49,46.12,-70.67,60.01,91,3.09,1
5847486,Kailua,US,07/03/2019 23:08:50,21.39,-157.74,82.4,83,6.93,40
3894426,Coihaique,CL,07/03/2019 23:06:46,-45.58,-72.07,30.2,100,0.72,40
3833859,Barrow,AR,07/03/2019 23:08:50,-38.31,-60.23,37.13,78,13.53,0
116402,Semnan,IR,07/03/2019 23:08:50,35.58,53.39,87.8,22,4.7,0
2084442,Vanimo,PG,07/03/2019 23:08:51,-2.67,141.3,83.57,68,9.22,91
2267254,Lagoa,PT,07/03/2019 23:08:51,37.14,-8.45,64.99,93,5.82,40
3896218,Castro,CL,07/03/2019 23:08:51,-42.48,-73.76,33.8,100,3.36,34
556268,Ostrovnoy,RU,07/03/2019 23:08:52,68.05,39.51,55.31,80,2.77,90
6185377,Yellowknife,CA,07/03/2019 23:08:52,62.45,-114.38,53.6,81,9.17,90
3356832,Henties Bay,NA,07/03/2019 23:08:52,-22.12,14.28,63.59,47,15.48,0
1242110,Kalmunai,LK,07/03/2019 23:08:53,7.42,81.82,98.87,31,5.21,69
2817970,Vacha,DE,07/03/2019 23:08:53,50.83,10.02,57.0,76,4.7,20
5710360,Winnemucca,US,07/03/2019 23:08:53,40.97,-117.74,64.0,30,4.7,20
4501427,Port Elizabeth,US,07/03/2019 23:08:54,39.31,-74.98,77.0,94,1.39,40
1056151,Mananjary,MG,07/03/2019 23:08:54,-19.16,46.8,66.65,44,2.46,0
2015217,Tokur,RU,07/03/2019 23:08:54,53.13,132.9,69.89,77,4.29,83
2126199,Cherskiy,RU,07/03/2019 23:08:54,68.75,161.3,55.13,49,1.88,98
743952,Kars,TR,07/03/2019 23:08:55,40.61,43.1,68.0,34,1.12,0
2409019,Gberia Fotombu,SL,07/03/2019 23:08:55,9.88,-11.17,71.33,99,3.22,100
3141667,Roald,NO,07/03/2019 23:08:55,62.58,6.12,48.2,81,5.82,75
4020109,Atuona,PF,07/03/2019 23:07:25,-9.8,-139.03,80.15,67,7.99,42
